id,code,name,country
1,CO,Continental Airlines,United States
2,US,US Airways,United States
3,AA,American Airlines,United States
4,AS,Alaska Airlines,United States
5,DL,Delta Air Lines,United States
6,B6,JetBlue Airways,United States
7,HA,Hawaiian Airlines,United States
8,OO,SkyWest Airlines,United States
9,9E,Endeavor Air,United States
10,OH,PSA Airlines,United States
11,EV,ExpressJet Airlines,United States
12,XE,ExpressJet Airlines,United States
13,YV,Mesa Airlines,United States
14,UA,United Airlines,United States
15,MQ,Envoy Air,United States
16,FL,AirTran Airways,United States
17,F9,Frontier Airlines,United States
18,WN,Southwest Airlines,United States
